Region,Product,Subsidiary,Stores,Sales,Inventory,Returns
Canada,Women's Casual,Vancouver,20,"$304,106","$665,323","$8,278"
Canada,Women's Dress,Vancouver,21,"$756,347","$2,503,387","$19,378"
Central America/Caribbean,Boot,Kingston,33,"$102,372","$393,376","$4,454"
Central America/Caribbean,Men's Casual,Kingston,28,"$576,112","$1,159,556","$20,005"
Central America/Caribbean,Men's Dress,Kingston,23,"$270,863","$618,703","$7,447"
Central America/Caribbean,Sandal,Kingston,15,"$200,156","$624,163","$8,365"
Central America/Caribbean,Slipper,Kingston,37,"$476,638","$1,555,357","$15,713"
Central America/Caribbean,Sport Shoe,Kingston,23,"$18,177","$86,162",$944
Central America/Caribbean,Women's Casual,Kingston,18,"$215,069","$275,321","$7,361"
Central America/Caribbean,Women's Dress,Kingston,41,"$375,817","$1,147,300","$11,656"
Central America/Caribbean,Boot,Managua,17,"$34,660","$162,033","$1,775"
Central America/Caribbean,Men's Casual,Managua,3,"$69,276","$79,666","$1,861"
Central America/Caribbean,Men's Dress,Managua,4,"$35,393","$72,044","$1,456"
Central America/Caribbean,Sandal,Managua,37,"$65,478","$261,456","$2,524"
Central America/Caribbean,Slipper,Managua,25,"$92,539","$289,520","$2,800"
Central America/Caribbean,Sport Shoe,Managua,14,"$5,655","$17,155",$269
Central America/Caribbean,Women's Casual,Managua,3,"$48,567","$118,849","$1,318"
Central America/Caribbean,Women's Dress,Managua,10,"$63,238","$163,951","$2,308"
Central America/Caribbean,Boot,Mexico City,21,"$20,819","$79,994",$814
Central America/Caribbean,Men's Casual,Mexico City,3,"$66,216","$70,123","$2,198"
Central America/Caribbean,Men's Dress,Mexico City,3,"$30,157","$78,950","$1,012"
Central America/Caribbean,Sandal,Mexico City,33,"$52,233","$175,201","$2,127"
Central America/Caribbean,Slipper,Mexico City,31,"$96,113","$340,122","$4,028"
Central America/Caribbean,Sport Shoe,Mexico City,3,"$2,196","$23,183",$59
Central America/Caribbean,Women's Casual,Mexico City,2,"$31,301","$91,171",$973
Central America/Caribbean,Women's Dress,Mexico City,7,"$69,553","$257,437","$1,614"
Central America/Caribbean,Boot,San Juan,31,"$32,892","$135,309","$1,504"
Central America/Caribbean,Men's Casual,San Juan,2,"$44,909","$182,986","$1,355"
Central America/Caribbean,Men's Dress,San Juan,8,"$68,482","$137,355","$2,756"
Central America/Caribbean,Sandal,San Juan,27,"$60,515","$210,250","$3,287"
Central America/Caribbean,Slipper,San Juan,7,"$217,891","$707,919","$6,825"
Central America/Caribbean,Sport Shoe,San Juan,4,$936,"$4,546",$74
Central America/Caribbean,Women's Casual,San Juan,10,"$104,420","$318,207","$4,240"
Central America/Caribbean,Women's Dress,San Juan,16,"$109,110","$336,513","$3,776"
Eastern Europe,Boot,Budapest,22,"$74,102","$317,515","$3,341"
Eastern Europe,Men's Casual,Budapest,6,"$66,936","$87,655","$3,944"
Eastern Europe,Men's Dress,Budapest,3,"$37,499","$147,214",$930
Eastern Europe,Sandal,Budapest,5,"$1,814","$4,894",$96
Eastern Europe,Slipper,Budapest,17,"$111,816","$453,821","$4,070"
Eastern Europe,Sport Shoe,Budapest,23,"$16,460","$79,416",$790
Eastern Europe,Women's Casual,Budapest,3,"$49,880","$137,093","$1,528"
Eastern Europe,Women's Dress,Budapest,6,"$52,022","$144,360","$1,452"
Eastern Europe,Boot,Moscow,23,"$67,476","$329,604","$3,142"
Eastern Europe,Men's Casual,Moscow,3,"$55,094","$156,554","$1,895"
Eastern Europe,Men's Dress,Moscow,11,"$113,119","$302,236","$4,004"
Eastern Europe,Slipper,Moscow,11,"$127,033","$520,271","$3,983"
Eastern Europe,Sport Shoe,Moscow,23,"$21,464","$110,822",$859
Eastern Europe,Women's Casual,Moscow,6,"$104,119","$211,220","$2,325"
Eastern Europe,Women's Dress,Moscow,10,"$72,671","$196,973","$2,227"
Eastern Europe,Boot,Prague,11,"$86,215","$341,326","$3,555"
Eastern Europe,Men's Casual,Prague,12,"$150,273","$336,151","$7,455"
Eastern Europe,Men's Dress,Prague,9,"$102,448","$231,514","$2,492"
Eastern Europe,Sandal,Prague,2,$712,"$3,384",$48
Eastern Europe,Slipper,Prague,29,"$128,971","$585,026","$5,346"
Eastern Europe,Sport Shoe,Prague,18,"$23,708","$117,976",$623
Eastern Europe,Women's Casual,Prague,1,"$15,897","$33,800",$414
Eastern Europe,Women's Dress,Prague,14,"$128,497","$425,237","$3,434"
Eastern Europe,Boot,Warsaw,26,"$78,992","$363,358","$3,246"
Eastern Europe,Men's Casual,Warsaw,15,"$304,093","$729,044","$9,364"
Eastern Europe,Men's Dress,Warsaw,10,"$82,695","$205,338","$2,862"
Eastern Europe,Sandal,Warsaw,3,"$1,190",$960,$57
Eastern Europe,Slipper,Warsaw,16,"$141,878","$712,365","$6,336"
Eastern Europe,Sport Shoe,Warsaw,19,"$29,570","$139,313","$1,053"
Eastern Europe,Women's Casual,Warsaw,3,"$39,360","$102,641","$1,365"
Eastern Europe,Women's Dress,Warsaw,19,"$108,936","$425,390","$4,465"
Middle East,Boot,Al-Khobar,10,"$15,062","$44,658",$765
Middle East,Men's Casual,Al-Khobar,24,"$340,201","$616,745","$13,251"
Middle East,Men's Dress,Al-Khobar,22,"$261,445","$711,246","$6,979"
Middle East,Sandal,Al-Khobar,2,"$1,380","$13,343",$62
Middle East,Slipper,Al-Khobar,26,"$66,796","$201,779","$3,052"
Middle East,Sport Shoe,Al-Khobar,2,$449,"$1,836",$43
Middle East,Women's Casual,Al-Khobar,13,"$226,514","$447,377","$5,966"
Middle East,Women's Dress,Al-Khobar,11,"$241,820","$611,686","$6,167"
Middle East,Boot,Dubai,15,"$90,972","$403,259","$4,049"
Middle East,Men's Casual,Dubai,29,"$419,336","$868,115","$17,552"
Middle East,Men's Dress,Dubai,25,"$324,312","$746,970","$8,159"
Middle East,Sandal,Dubai,24,"$17,492","$59,985",$734
Middle East,Slipper,Dubai,17,"$387,680","$1,238,698","$12,768"
Middle East,Sport Shoe,Dubai,5,"$1,487","$11,432",$70
Middle East,Women's Casual,Dubai,19,"$233,374","$416,012","$8,102"
Middle East,Women's Dress,Dubai,19,"$435,891","$1,292,400","$12,999"
Middle East,Boot,Tel Aviv,20,"$65,248","$222,165","$2,320"
Middle East,Men's Casual,Tel Aviv,11,"$1,298,717","$2,881,005","$57,362"
Middle East,Men's Dress,Tel Aviv,24,"$253,814","$631,479","$8,727"
Middle East,Sandal,Tel Aviv,17,"$16,314","$71,094",$574
Middle East,Slipper,Tel Aviv,21,"$208,004","$639,427","$7,738"
Middle East,Sport Shoe,Tel Aviv,4,"$2,071","$15,121",$47
Middle East,Women's Casual,Tel Aviv,19,"$288,904","$790,386","$12,000"
Middle East,Women's Dress,Tel Aviv,18,"$434,496","$1,272,531","$17,394"
Pacific,Boot,Auckland,12,"$20,141","$97,919",$962
Pacific,Men's Dress,Auckland,1,"$4,892",$538,$325
Pacific,Sandal,Auckland,1,$325,"$23,897",$10
Pacific,Slipper,Auckland,11,"$33,000","$136,625","$1,321"
Pacific,Sport Shoe,Auckland,5,"$5,117","$35,246",$211
Pacific,Women's Casual,Auckland,1,"$18,189","$15,241",$421
Pacific,Women's Dress,Auckland,6,"$42,760","$158,688","$1,278"
Pacific,Boot,Canberra,21,"$32,640","$188,437","$1,237"
Pacific,Men's Casual,Canberra,1,"$24,733","$45,172",$614
Pacific,Men's Dress,Canberra,1,"$4,231","$346,780",$350
Pacific,Sandal,Canberra,1,"$1,093","$8,711",$21
Pacific,Slipper,Canberra,10,"$44,121","$155,948","$1,252"
Pacific,Sport Shoe,Canberra,10,"$12,211","$80,393",$336
Pacific,Women's Casual,Canberra,1,"$15,032","$42,469",$409
Pacific,Women's Dress,Canberra,5,"$21,486","$58,824","$1,096"
Pacific,Boot,Jakarta,6,"$11,975","$50,645",$523
Pacific,Men's Casual,Jakarta,12,"$373,908","$1,139,026","$10,960"
Pacific,Men's Dress,Jakarta,22,"$186,631","$559,904","$6,447"
Pacific,Sandal,Jakarta,31,"$24,940","$134,557","$1,112"
Pacific,Slipper,Jakarta,7,"$22,060","$82,215",$861
Pacific,Sport Shoe,Jakarta,4,"$6,110","$26,124",$164
Pacific,Women's Casual,Jakarta,1,"$18,761","$27,749",$468
Pacific,Women's Dress,Jakarta,1,"$4,659","$19,899",$255
Pacific,Boot,Kuala Lumpur,15,"$25,796","$143,063","$1,110"
Pacific,Men's Casual,Kuala Lumpur,6,"$106,657","$310,404","$4,092"
Pacific,Men's Dress,Kuala Lumpur,7,"$55,667","$161,328","$2,288"
Pacific,Sandal,Kuala Lumpur,7,"$4,130","$24,936",$213
Pacific,Slipper,Kuala Lumpur,17,"$83,212","$382,786","$2,568"
Pacific,Sport Shoe,Kuala Lumpur,2,$450,"$8,136",$42
Pacific,Women's Casual,Kuala Lumpur,2,"$36,110","$91,052",$995
Pacific,Women's Dress,Kuala Lumpur,8,"$61,108","$245,543","$1,977"
Pacific,Boot,Manila,21,"$31,503","$110,179","$1,449"
Pacific,Men's Casual,Manila,7,"$128,309","$264,891","$5,285"
Pacific,Men's Dress,Manila,14,"$144,151","$464,158","$4,414"
Pacific,Sandal,Manila,18,"$15,759","$65,223",$620
Pacific,Slipper,Manila,14,"$171,735","$708,799","$5,544"
Pacific,Sport Shoe,Manila,8,"$2,281","$15,955",$144
Pacific,Women's Casual,Manila,9,"$131,794","$265,543","$4,241"
Pacific,Women's Dress,Manila,12,"$229,372","$818,328","$7,265"
Pacific,Boot,Singapore,2,"$1,520",$374,$120
Pacific,Men's Casual,Singapore,1,"$28,761","$89,599",$690
Pacific,Men's Dress,Singapore,3,"$30,619","$103,585","$1,148"
Pacific,Sandal,Singapore,1,"$2,177","$5,897",$35
Pacific,Slipper,Singapore,6,"$36,612","$139,288",$843
Pacific,Women's Dress,Singapore,5,"$40,056","$117,217","$1,413"
South America,Boot,Bogota,19,"$15,312","$35,805","$1,229"
South America,Men's Casual,Bogota,2,"$20,835","$43,155","$1,136"
South America,Men's Dress,Bogota,4,"$37,187","$62,770","$1,424"
South America,Sandal,Bogota,16,"$22,712","$62,856","$1,292"
South America,Slipper,Bogota,15,"$33,723","$88,411","$2,033"
South America,Sport Shoe,Bogota,19,"$4,729","$11,597",$333
South America,Women's Dress,Bogota,14,"$71,736","$117,761","$2,646"
South America,Boot,Buenos Aires,16,"$17,027","$39,291","$1,073"
South America,Men's Casual,Buenos Aires,1,"$16,019","$15,889",$498
South America,Men's Dress,Buenos Aires,1,"$14,437","$29,932",$354
South America,Sandal,Buenos Aires,21,"$18,765","$75,358",$604
South America,Slipper,Buenos Aires,8,"$11,759","$23,822",$939
South America,Sport Shoe,Buenos Aires,14,"$3,545","$6,103",$229
South America,Women's Casual,Buenos Aires,1,"$15,470","$19,479",$382
South America,Women's Dress,Buenos Aires,4,"$21,261","$31,081",$964
South America,Boot,Caracas,13,"$63,697","$307,509","$2,731"
South America,Men's Casual,Caracas,14,"$245,757","$445,579","$7,918"
South America,Men's Dress,Caracas,15,"$135,371","$275,526","$4,710"
South America,Sandal,Caracas,29,"$22,973","$118,535","$1,096"
South America,Slipper,Caracas,19,"$132,853","$457,658","$4,609"
South America,Sport Shoe,Caracas,4,"$1,716","$12,360",$79
South America,Women's Casual,Caracas,3,"$42,654","$68,096","$1,525"
South America,Women's Dress,Caracas,26,"$144,302","$454,123","$5,274"
South America,Boot,La Paz,21,"$36,309","$100,618","$2,925"
South America,Men's Casual,La Paz,6,"$124,203","$184,499","$4,046"
South America,Men's Dress,La Paz,11,"$131,079","$173,417","$3,698"
South America,Sandal,La Paz,31,"$27,728","$81,525",$945
South America,Slipper,La Paz,18,"$125,763","$338,758","$6,501"
South America,Sport Shoe,La Paz,15,"$8,095","$25,212",$254
South America,Women's Casual,La Paz,6,"$48,260","$138,402","$2,547"
South America,Women's Dress,La Paz,8,"$29,069","$73,048","$1,648"
South America,Boot,Montevideo,15,"$53,703","$150,601","$3,226"
South America,Men's Casual,Montevideo,3,"$52,968","$76,200","$1,811"
South America,Men's Dress,Montevideo,8,"$45,566","$125,584","$2,708"
South America,Sandal,Montevideo,12,"$27,742","$90,767","$1,913"
South America,Slipper,Montevideo,28,"$80,525","$236,273","$3,419"
South America,Sport Shoe,Montevideo,22,"$8,365","$39,256",$361
South America,Women's Casual,Montevideo,3,"$28,343","$66,442","$1,374"
South America,Women's Dress,Montevideo,5,"$21,434","$63,913","$1,213"
South America,Boot,Santiago,14,"$14,907","$39,222",$939
South America,Men's Dress,Santiago,3,"$23,117","$44,160","$1,026"
South America,Sandal,Santiago,22,"$12,343","$35,668",$631
South America,Slipper,Santiago,9,"$23,260","$46,106","$1,224"
South America,Sport Shoe,Santiago,6,"$4,184","$19,113",$112
South America,Women's Casual,Santiago,1,"$5,709","$6,972",$506
South America,Women's Dress,Santiago,3,"$21,436","$45,398",$759
South America,Boot,Sao Paulo,12,"$44,720","$173,578","$2,471"
South America,Men's Casual,Sao Paulo,5,"$85,168","$107,413","$3,120"
South America,Men's Dress,Sao Paulo,5,"$38,912","$89,758","$1,740"
South America,Sandal,Sao Paulo,18,"$33,662","$121,645","$1,682"
South America,Slipper,Sao Paulo,21,"$54,768","$217,967","$2,675"
South America,Sport Shoe,Sao Paulo,7,"$2,427","$10,132",$147
South America,Women's Casual,Sao Paulo,3,"$38,791","$117,081","$1,438"
South America,Women's Dress,Sao Paulo,13,"$68,387","$144,670","$2,714"
United States,Boot,Chicago,16,"$82,483","$305,061","$3,735"
United States,Men's Casual,Chicago,26,"$408,978","$831,672","$17,907"
United States,Men's Dress,Chicago,28,"$261,607","$824,485","$8,915"
United States,Sandal,Chicago,2,$601,"$17,121",$35
United States,Slipper,Chicago,13,"$329,235","$1,049,530","$10,654"
United States,Sport Shoe,Chicago,17,"$17,347","$74,605",$684
United States,Women's Casual,Chicago,11,"$172,021","$474,524","$5,399"
United States,Women's Dress,Chicago,37,"$293,313","$754,157","$10,194"
United States,Boot,Los Angeles,14,"$85,932","$347,252","$3,283"
United States,Men's Casual,Los Angeles,9,"$177,010","$401,199","$6,336"
United States,Men's Dress,Los Angeles,15,"$147,670","$348,869","$4,962"
United States,Sandal,Los Angeles,2,$737,"$20,838",$38
United States,Slipper,Los Angeles,11,"$98,866","$330,743","$3,457"
United States,Sport Shoe,Los Angeles,19,"$16,307","$98,221",$601
United States,Women's Casual,Los Angeles,6,"$62,661","$231,285","$2,346"
United States,Women's Dress,Los Angeles,16,"$148,129","$452,383","$4,289"
United States,Boot,Minneapolis,16,"$111,940","$615,489","$4,475"
United States,Men's Casual,Minneapolis,16,"$263,712","$564,741","$9,991"
United States,Men's Dress,Minneapolis,22,"$235,842","$623,645","$7,344"
United States,Sandal,Minneapolis,8,"$3,551","$32,907",$161
United States,Slipper,Minneapolis,16,"$131,813","$487,233","$4,833"
United States,Sport Shoe,Minneapolis,29,"$18,151","$116,192","$1,009"
United States,Women's Casual,Minneapolis,7,"$110,760","$287,412","$3,440"
United States,Women's Dress,Minneapolis,27,"$224,168","$760,977","$5,820"
United States,Boot,New York,18,"$97,151","$495,479","$3,983"
United States,Men's Casual,New York,20,"$456,985","$890,096","$13,453"
United States,Men's Dress,New York,18,"$191,755","$658,134","$5,399"
United States,Sandal,New York,1,$554,"$5,060",$23
United States,Slipper,New York,24,"$252,758","$1,059,333","$8,503"
United States,Sport Shoe,New York,23,"$22,190","$141,140",$847
United States,Women's Casual,New York,10,"$178,842","$438,035","$4,236"
United States,Women's Dress,New York,17,"$288,972","$1,129,697","$10,257"
United States,Boot,Seattle,15,"$70,790","$226,678","$3,039"
United States,Men's Casual,Seattle,6,"$65,842","$112,538","$3,395"
United States,Men's Dress,Seattle,10,"$132,397","$274,310","$3,153"
United States,Sandal,Seattle,10,"$6,596","$18,768",$181
United States,Slipper,Seattle,10,"$155,255","$553,502","$5,277"
United States,Sport Shoe,Seattle,29,"$30,408","$108,266","$1,021"
United States,Women's Casual,Seattle,2,"$17,252","$28,513",$790
United States,Women's Dress,Seattle,21,"$133,405","$392,307","$4,037"
Western Europe,Boot,Copenhagen,2,"$1,663","$4,657",$129
Western Europe,Men's Casual,Copenhagen,1,"$38,492","$90,672",$767
Western Europe,Men's Dress,Copenhagen,2,"$12,415","$36,074",$686
Western Europe,Slipper,Copenhagen,4,"$15,908","$69,133",$594
Western Europe,Sport Shoe,Copenhagen,1,"$1,927","$17,683",$31
Western Europe,Sport Shoe,Copenhagen,13,"$101,922","$327,742","$4,204"
Western Europe,Women's Casual,Copenhagen,26,"$502,636","$1,110,412","$17,448"
Western Europe,Women's Dress,Copenhagen,3,"$18,153","$62,048",$664
Western Europe,Boot,Geneva,22,"$41,341","$171,030","$1,560"
Western Europe,Men's Casual,Geneva,4,"$71,618","$138,897","$2,484"
Western Europe,Men's Dress,Geneva,3,"$26,888","$60,544","$1,140"
Western Europe,Sandal,Geneva,3,$736,"$3,529",$51
Western Europe,Slipper,Geneva,27,"$109,808","$440,623","$3,311"
Western Europe,Sport Shoe,Geneva,17,"$15,951","$119,953",$592
Western Europe,Women's Casual,Geneva,5,"$69,470","$226,247","$2,114"
Western Europe,Women's Dress,Geneva,14,"$111,396","$339,166","$3,036"
Western Europe,Boot,Heidelberg,14,"$65,610","$301,779","$2,829"
Western Europe,Men's Casual,Heidelberg,12,"$175,694","$595,118","$9,845"
Western Europe,Men's Dress,Heidelberg,16,"$161,679","$468,267","$5,373"
Western Europe,Sandal,Heidelberg,3,$977,"$4,618",$62
Western Europe,Slipper,Heidelberg,17,"$243,342","$928,112","$7,940"
Western Europe,Sport Shoe,Heidelberg,11,"$38,961","$230,819","$1,316"
Western Europe,Women's Casual,Heidelberg,9,"$141,287","$424,473","$3,861"
Western Europe,Women's Dress,Heidelberg,23,"$140,189","$403,156","$4,812"
Western Europe,Boot,Lisbon,18,"$76,349","$341,911","$3,290"
Western Europe,Men's Casual,Lisbon,18,"$311,341","$502,959","$12,247"
Western Europe,Men's Dress,Lisbon,8,"$108,906","$328,209","$2,665"
Western Europe,Sandal,Lisbon,4,"$1,650","$24,253",$64
Western Europe,Slipper,Lisbon,12,"$170,694","$865,325","$5,925"
Western Europe,Sport Shoe,Lisbon,19,"$19,686","$118,262",$824
Western Europe,Women's Casual,Lisbon,3,"$41,939","$112,366","$1,266"
Western Europe,Women's Dress,Lisbon,17,"$167,780","$538,624","$4,150"
Western Europe,Boot,London,31,"$54,449","$289,527","$2,321"
Western Europe,Men's Casual,London,13,"$151,402","$401,374","$7,159"
Western Europe,Men's Dress,London,13,"$151,458","$446,963","$4,870"
Western Europe,Sandal,London,2,"$5,217","$11,111",$24
Western Europe,Slipper,London,14,"$172,002","$625,925","$5,620"
Western Europe,Sport Shoe,London,10,"$9,165","$42,239",$354
Western Europe,Women's Casual,London,5,"$68,962","$162,447","$1,978"
Western Europe,Women's Dress,London,25,"$149,354","$527,226","$5,084"
Western Europe,Boot,Madrid,1,"$1,179","$1,027",$93
Western Europe,Men's Casual,Madrid,4,"$71,014","$59,011","$3,784"
Western Europe,Men's Dress,Madrid,4,"$54,791","$181,739","$1,468"
Western Europe,Slipper,Madrid,4,"$12,127","$10,234",$500
Western Europe,Women's Casual,Madrid,3,"$50,146","$113,870","$1,216"
Western Europe,Women's Dress,Madrid,1,"$11,385","$59,192",$273
Western Europe,Boot,Paris,15,"$19,196","$41,506","$1,006"
Western Europe,Men's Casual,Paris,5,"$89,416","$156,288","$3,863"
Western Europe,Men's Dress,Paris,16,"$203,532","$421,109","$5,722"
Western Europe,Sandal,Paris,3,"$1,520","$23,816",$60
Western Europe,Slipper,Paris,19,"$90,975","$251,927","$2,372"
Western Europe,Sport Shoe,Paris,4,"$3,449","$28,588",$186
Western Europe,Women's Casual,Paris,5,"$91,243","$184,365","$2,388"
Western Europe,Women's Dress,Paris,19,"$122,546","$362,247","$3,727"
Western Europe,Boot,Rome,23,"$36,244","$209,271","$1,455"
Western Europe,Men's Casual,Rome,2,"$37,271","$91,670","$1,761"
Western Europe,Men's Dress,Rome,2,"$28,249","$69,058",$651
Western Europe,Sandal,Rome,3,"$1,249","$4,611",$48
Western Europe,Slipper,Rome,13,"$42,442","$132,283","$1,829"
Western Europe,Sport Shoe,Rome,14,"$9,969","$74,848",$549
Western Europe,Women's Casual,Rome,2,"$19,964","$62,256",$954
Western Europe,Women's Dress,Rome,16,"$106,676","$389,861","$3,160"
